student_id,subject_id,difficulty,previous_score,days_until_exam,topics_remaining,available_hours_total,priority_weight,recommended_hours
0,0,2,75,37,4,4,2.7703,0.5
0,1,2,95,59,2,4,1.6695,0.29
0,2,3,95,43,6,4,3.3326,0.6
0,3,5,86,57,4,4,3.6554,0.63
0,4,1,94,44,3,4,1.6473,0.31
0,5,4,80,5,5,4,5.5,1.02
0,6,4,73,42,4,4,3.5781,0.66
1,0,1,64,31,6,7,3.2426,1.21
1,1,1,56,28,2,7,2.2371,0.84
1,2,3,67,11,7,7,4.8691,1.98
1,3,1,73,58,8,7,3.5124,1.34
1,4,5,86,31,5,7,4.1026,1.66
2,0,2,81,32,9,6,4.1925,0.88
2,1,1,71,10,11,6,5.28,1.13
2,2,3,61,51,4,6,3.3761,0.67
2,3,2,76,58,11,6,4.7524,1.02
2,4,1,72,42,6,6,2.9981,0.59
2,5,2,72,26,8,6,4.1446,0.89
2,6,4,79,20,6,6,4.32,0.89
3,0,4,74,11,4,8,4.2291,4.13
3,1,1,81,10,7,8,3.88,3.81
4,0,2,93,8,6,7,3.99,1.12
4,1,3,74,11,3,7,3.5291,0.96
4,2,4,81,21,4,7,3.6562,1.04
4,3,2,81,58,2,7,1.9524,0.53
4,4,1,84,30,6,7,2.8533,0.8
4,5,1,77,13,2,7,2.2292,0.61
4,6,4,83,33,4,7,3.443,1.01
4,7,3,78,57,5,7,3.3154,0.89
5,0,3,85,30,6,3,3.6333,0.3
5,1,3,84,53,6,3,3.5087,0.3
5,2,1,65,43,3,3,2.2326,0.18
5,3,4,82,51,6,3,3.9561,0.32
5,4,3,72,43,7,3,4.0926,0.34
5,5,2,93,21,7,3,3.5162,0.3
5,6,1,73,9,5,3,3.5511,0.29
5,7,4,78,26,6,3,4.2246,0.35
5,8,1,75,29,5,3,2.7448,0.22
5,9,4,71,16,7,3,4.905,0.41
6,0,5,90,7,3,8,4.5286,1.45
6,1,1,70,13,2,8,2.3692,0.74
6,2,1,94,55,4,8,1.9018,0.57
6,3,5,95,12,2,8,3.5333,1.09
6,4,4,95,21,6,8,3.9762,1.29
6,5,2,60,54,2,8,2.3852,0.73
6,6,1,84,46,4,8,2.1374,0.66
6,7,5,93,11,6,8,4.8491,1.46
